"Positie houder";"Naam van de emittent";"ISIN";"Netto Shortpositie";"Positiedatum"
"Toscafund Asset Management LLP";"Wereldhave N.V.";"NL0000289213";"0.65";"2018-12-27 00:00:00"
"Sculptor Capital Management Europe Limited";"Fugro N.V.";"NL0000352565";"1.51";"2018-12-24 00:00:00"
"BlueMountain Capital Management, LLC";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.69";"2018-12-21 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.58";"2018-12-20 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"1.39";"2018-12-20 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"3.64";"2018-12-20 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"0.92";"2018-12-20 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0.99";"2018-12-19 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"3.73";"2018-12-19 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.60";"2018-12-18 00:00:00"
"Connor, Clark & Lunn Investment Management Ltd.";"Wereldhave N.V.";"NL0000289213";"0.70";"2018-12-18 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"3.83";"2018-12-18 00:00:00"
"Sculptor Capital Management Europe Limited";"Fugro N.V.";"NL0000352565";"1.41";"2018-12-18 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"0.88";"2018-12-13 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"1.49";"2018-12-11 00:00:00"
"Toscafund Asset Management LLP";"Wereldhave N.V.";"NL0000289213";"0.71";"2018-12-11 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.39";"2018-12-10 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"0.99";"2018-12-10 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.40";"2018-12-07 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"1.09";"2018-12-06 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"2.49";"2018-12-05 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.59";"2018-12-04 00:00:00"
"Connor, Clark & Lunn Investment Management Ltd.";"Wereldhave N.V.";"NL0000289213";"0.69";"2018-12-04 00:00:00"
"Marshall Wace Asia Limited";"ARCADIS N.V.";"NL0006237562";"1.41";"2018-12-04 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"2.50";"2018-12-04 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"1.16";"2018-12-04 00:00:00"
"BlueMountain Capital Management, LLC";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.70";"2018-12-03 00:00:00"
"Connor, Clark & Lunn Investment Management Ltd.";"Wereldhave N.V.";"NL0000289213";"0.70";"2018-12-03 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"1.22";"2018-12-03 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.69";"2018-11-29 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"0.89";"2018-11-29 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"1.38";"2018-11-29 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"3.99";"2018-11-27 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"1.47";"2018-11-27 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"1.59";"2018-11-26 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.02";"2018-11-26 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"4.04";"2018-11-26 00:00:00"
"Sculptor Capital Management Europe Limited";"Fugro N.V.";"NL0000352565";"1.39";"2018-11-26 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0.99";"2018-11-23 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"1.59";"2018-11-22 00:00:00"
