Marshall Wace LLP;Proximus;BE0003810273;0,69%;15/06/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;15/06/2013
Marshall Wace LLP;Proximus;BE0003810273;0,69%;16/06/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;16/06/2013
Marshall Wace LLP;Proximus;BE0003810273;0,69%;17/06/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;17/06/2013
Marshall Wace LLP;Proximus;BE0003810273;0,71%;18/06/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;18/06/2013
Marshall Wace LLP;Proximus;BE0003810273;0,71%;19/06/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;19/06/2013
Marshall Wace LLP;Proximus;BE0003810273;0,71%;20/06/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;20/06/2013
Marshall Wace LLP;Proximus;BE0003810273;0,71%;21/06/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;21/06/2013
Marshall Wace LLP;Proximus;BE0003810273;0,71%;22/06/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;22/06/2013
Marshall Wace LLP;Proximus;BE0003810273;0,71%;23/06/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;23/06/2013
Marshall Wace LLP;Proximus;BE0003810273;0,71%;24/06/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;24/06/2013
Marshall Wace LLP;Proximus;BE0003810273;0,80%;25/06/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;25/06/2013
Marshall Wace LLP;Proximus;BE0003810273;0,80%;26/06/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;26/06/2013
Marshall Wace LLP;Proximus;BE0003810273;0,80%;27/06/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;27/06/2013
Marshall Wace LLP;Proximus;BE0003810273;0,80%;28/06/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;28/06/2013
Marshall Wace LLP;Proximus;BE0003810273;0,80%;29/06/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;29/06/2013
Marshall Wace LLP;Proximus;BE0003810273;0,80%;30/06/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;30/06/2013
Marshall Wace LLP;Proximus;BE0003810273;0,80%;01/07/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;01/07/2013
Marshall Wace LLP;Proximus;BE0003810273;0,80%;02/07/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;02/07/2013
Marshall Wace LLP;Proximus;BE0003810273;0,80%;03/07/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;03/07/2013
Marshall Wace LLP;Proximus;BE0003810273;0,80%;04/07/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;04/07/2013
Marshall Wace LLP;Proximus;BE0003810273;0,80%;05/07/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;05/07/2013
Marshall Wace LLP;Proximus;BE0003810273;0,80%;06/07/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;06/07/2013
Marshall Wace LLP;Proximus;BE0003810273;0,80%;07/07/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;07/07/2013
Marshall Wace LLP;Proximus;BE0003810273;0,79%;08/07/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;08/07/2013
Marshall Wace LLP;Proximus;BE0003810273;0,79%;09/07/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;09/07/2013
Marshall Wace LLP;Proximus;BE0003810273;0,79%;10/07/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;10/07/2013
Marshall Wace LLP;Proximus;BE0003810273;0,79%;11/07/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;11/07/2013
Marshall Wace LLP;Proximus;BE0003810273;0,79%;12/07/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;12/07/2013
Marshall Wace LLP;Proximus;BE0003810273;0,79%;13/07/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;13/07/2013
Marshall Wace LLP;Proximus;BE0003810273;0,79%;14/07/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;14/07/2013
Marshall Wace LLP;Proximus;BE0003810273;0,79%;15/07/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;15/07/2013
Marshall Wace LLP;Proximus;BE0003810273;0,79%;16/07/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;16/07/2013
Marshall Wace LLP;Proximus;BE0003810273;0,79%;17/07/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;17/07/2013
Marshall Wace LLP;Proximus;BE0003810273;0,79%;18/07/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;18/07/2013
Marshall Wace LLP;Proximus;BE0003810273;0,79%;19/07/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;19/07/2013
Marshall Wace LLP;Proximus;BE0003810273;0,79%;20/07/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;20/07/2013
Marshall Wace LLP;Proximus;BE0003810273;0,79%;21/07/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;21/07/2013
Marshall Wace LLP;Proximus;BE0003810273;0,79%;22/07/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;22/07/2013
Marshall Wace LLP;Proximus;BE0003810273;0,79%;23/07/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;23/07/2013
Marshall Wace LLP;Proximus;BE0003810273;0,79%;24/07/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;24/07/2013
Marshall Wace LLP;Proximus;BE0003810273;0,79%;25/07/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;25/07/2013
Marshall Wace LLP;Proximus;BE0003810273;0,79%;26/07/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;26/07/2013
Marshall Wace LLP;Proximus;BE0003810273;0,79%;27/07/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;27/07/2013
